Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
515,Marc Staal,30,D,NYR,0.1303403331,0.3041274439,0.434467777,9,34,2.8,3,0,0,0,6,0,1,3.0412744388,4.3,19.18,1.3472222222,1.2361111111,45.879797248,52.483707458,46.6,-2.1,34.887762491,38.754525706,47.4,-2.5,9.2,92.6,101.8,43,57,6.3432295438,0.9558291093,2.0419985518,47.9
516,Brenden Dillon,26,D,SJS,0.0899550225,0.35982009,0.4497751124,-2,60,2.6,2,0,0,0,8,0,0,3.868065967,2.3,16.47,1,2.1358024691,54.377811094,48.305847076,53,2.4,38.995502249,33.283358321,54,2.4,5.7,92.9,98.6,53.4,46.6,9.0404797601,0.4947526237,1.5292353823,42.3
517,Alexei Emelin,30,D,MTL,0.0740740741,0.2962962963,0.3703703704,1,71,3,2,0,0,0,8,0,0,3.037037037,2.4,21.32,1.6710526316,3.1710526316,48.037037037,48.111111111,50,-3.5,34.259259259,34.37037037,49.9,-3.3,7,93.5,100.5,43.5,56.5,7.4074074074,0.5925925926,3.1111111111,41
519,Adam McQuaid,30,D,BOS,0.0854092527,0.3416370107,0.4270462633,4,71,3.3,2,0,0,1,7,0,1,2.7330960854,3.1,18.25,1.8701298701,2.038961039,51.971530249,44.540925267,53.8,-1.8,38.007117438,32.62633452,53.8,-2.4,7.4,91.2,98.6,52.1,47.9,5.8078291815,0.4270462633,1.024911032,47.1
521,Chris Tanev,27,D,VAN,0.1113172542,0.4452690167,0.5565862709,3,14,3.1,2,0,0,1,8,0,0,2.1706864564,5.1,20.34,1.7169811321,0.358490566,38.571428571,42.968460111,47.3,-0.7,27.384044527,32.448979592,45.8,-1.1,9.2,92.5,101.7,44.7,55.3,5.120593692,0.8348794063,1.3914656772,42.4
523,Nikita Zadorov,21,D,COL,0,0.5628517824,0.5628517824,-20,73,0.8,0,0,0,0,8,2,0,3.4333958724,0,19.04,1.2321428571,2.7321428571,43.339587242,48.067542214,47.4,-0.6,32.307692308,36.135084428,47.2,-0.7,5.7,91,96.7,44.3,55.7,8.8367729831,0.6754221388,1.4071294559,38.9
533,Brendan Smith,27,D,TOT,0.1834862385,0.3669724771,0.5504587156,1,63,2.3,2,1,0,1,4,2,0,3.7920489297,4.8,19.24,1.2745098039,1.1568627451,44.464831804,44.95412844,49.7,2.3,34.067278287,34.311926606,49.8,2.3,8,92.6,100.6,48.4,51.6,8.74617737,0.6727828746,2.2629969419,43.4
537,Johnny Oduya,35,D,TOT,0.1263157895,0.4421052632,0.5684210526,-4,18,1.4,2,0,0,0,7,0,0,2.3368421053,5.4,18.27,2.3653846154,0.5576923077,46.610526316,52.989473684,46.8,-3.2,33.852631579,34.989473684,49.2,-1.3,8.4,90.7,99.1,40.7,59.3,7.4526315789,0.8842105263,2.3368421053,31.4
540,Nikita Tryamkin,22,D,VAN,0.1085972851,0.3800904977,0.4886877828,-7,64,2.2,2,0,0,0,7,0,0,3.5294117647,3.1,16.74,1.3181818182,2.196969697,46.316742081,49.954751131,48.1,-0.7,34.642533937,37.737556561,47.9,0.8,6.7,92.5,99.1,52,48,8.7963800905,0.6515837104,1.7918552036,40.1
541,Jonathan Ericsson,32,D,DET,0.0612244898,0.4897959184,0.5510204082,-2,63,2.1,1,0,0,0,8,0,0,2.6326530612,2.3,19.22,0.7058823529,1.6862745098,43.285714286,50.081632653,46.4,-1.8,33.367346939,39.979591837,45.5,-3,9.7,91.7,101.4,42,58,5.8163265306,0.5510204082,1.6530612245,45.3
542,Jason Garrison,32,D,TBL,0.0461538462,0.3692307692,0.4153846154,-8,14,1.8,1,0,0,0,8,0,0,4.4307692308,1,18.57,1.3,1.3285714286,43.753846154,47.538461538,47.9,-5.4,34.015384615,36.230769231,48.4,-3.4,7,92,99,43.3,56.7,8.9076923077,0.3692307692,1.5230769231,49.7
554,Connor Carrick,22,D,TOR,0.1095890411,0.3287671233,0.4383561644,8,51,2.3,1,1,0,0,6,0,0,4.8767123288,2.2,16.34,1.1791044776,0.9850746269,60.273972603,52.438356164,53.5,2.9,43.780821918,40.493150685,52,2,8.9,91.9,100.8,58.8,41.2,11.780821918,0.7671232877,2.5205479452,41.4
555,Christian Folin,25,D,MIN,0.157480315,0.4724409449,0.6299212598,10,26,2.3,2,0,0,0,6,0,0,3.0708661417,5.1,14.94,1.1568627451,1.3529411765,48.74015748,55.354330709,46.8,-3.3,36.850393701,41.88976378,46.8,-3.5,8.9,94,102.9,45.1,54.9,7.4015748031,0.7086614173,1.1811023622,41.5
556,Michal Kempny,26,D,CHI,0.1604278075,0.4812834225,0.6417112299,1,22,1.6,2,0,0,0,6,0,0,5.3743315508,3,14.96,1.18,1.52,61.524064171,47.727272727,56.3,6.9,44.518716578,34.331550802,56.5,8.2,7.5,91.3,98.8,53.5,46.5,13.877005348,0.4812834225,2.0855614973,38.7
560,Luke Schenn,27,D,ARI,0.0426136364,0.2982954545,0.3409090909,-9,85,1.7,1,0,0,0,7,0,0,4.0056818182,1.1,18.05,1.7179487179,3.6666666667,45.46875,57.613636364,44.1,-1.4,33.579545455,43.678977273,43.5,-1.2,6.7,93.3,100,38.5,61.5,9.0767045455,0.46875,1.3210227273,44.1
561,Yannick Weber,28,D,NSH,0.0689655172,0.4827586207,0.5517241379,1,25,1.7,1,0,0,1,7,0,0,4.9655172414,1.4,11.92,0.7260273973,0.9863013699,51.862068966,56.896551724,47.7,-4.6,37.793103448,41.586206897,47.6,-4.3,8.2,92,100.2,57.1,42.9,10.482758621,0.6206896552,1.8620689655,47.4
562,Justin Falk,28,D,BUF,0,0.6741573034,0.6741573034,-3,29,1.5,0,0,0,0,8,0,0,2.7808988764,0,13.69,0.7692307692,1.9423076923,50.730337079,49.382022472,50.7,5.2,38.764044944,37.668539326,50.7,4.7,5.6,93.3,98.9,50.3,49.7,7.2471910112,0.5898876404,1.8539325843,38.4
579,Markus Nutivaara,22,D,CBJ,0.1376146789,0.3440366972,0.4816513761,7,6,2.2,2,0,0,0,5,0,0,4.5412844037,3,13.21,0.5757575758,0.5454545455,51.399082569,54.770642202,48.4,-2.8,38.532110092,41.628440367,48.1,-3.4,7.7,94.2,101.9,61,39,9.2201834862,0.619266055,1.376146789,49.3
585,Ben Lovejoy,32,D,NJD,0.0352319436,0.2113916618,0.2466236054,-7,39,2.5,1,0,0,1,6,0,0,2.9594832648,1.2,20.77,1.8170731707,1,36.958308867,48.620082208,43.2,-6.3,29.066353494,37.028772754,44,-5.4,6,93.9,99.9,31.5,68.5,5.2495596007,0.6341749853,1.4092777452,56.4
586,Olli Maatta,22,D,PIT,0.060362173,0.3621730382,0.4225352113,17,12,2.3,1,0,0,0,6,0,0,3.9839034205,1.5,18.07,1.8545454545,1.3090909091,51.126760563,52.756539235,49.2,-2.5,38.028169014,37.424547284,50.4,-2.9,8.6,93.8,102.5,50.4,49.6,7.7867203219,0.6639839034,1.8108651911,51.2
604,Josh Gorges,32,D,BUF,0.0492610837,0.2463054187,0.2955665025,-3,50,2.1,1,0,0,0,5,0,0,1.9704433498,2.5,18.45,1.6363636364,2.1666666667,41.57635468,50.492610837,45.2,-3.3,32.610837438,37.733990148,46.4,-1.3,5.7,94.1,99.8,43.3,56.7,3.9408866995,0.3448275862,0.8374384236,50
609,Jonathon Merrill,24,D,NJD,0.0633579725,0.3167898627,0.3801478353,-9,24,1.3,1,0,0,0,5,0,0,3.0411826822,2.1,18.57,1.3137254902,0.7647058824,41.879619852,45.427666315,48,0.1,33.072861668,34.340021119,49.1,1.2,6.1,91.3,97.4,40.6,59.4,6.0823653643,1.0137275607,1.393875396,50
610,Carl Gunnarsson,30,D,STL,0,0.4730617608,0.4730617608,-5,4,1,0,0,0,0,6,0,0,2.5229960578,0,13.59,1.2142857143,0.75,42.96977661,44.625492773,49.1,-1.2,32.010512484,32.010512484,50,-0.5,5.2,92.7,97.9,52.9,47.1,5.6767411301,0.1576872536,0.6307490145,44.4
676,Mark Borowiecki,27,D,OTT,0.0611620795,0.122324159,0.1834862385,-3,154,1.3,1,0,0,0,2,0,0,3.0581039755,2,14.01,1.2857142857,5.2,50.764525994,53.944954128,48.5,0.2,36.085626911,38.532110092,48.4,-0.9,5.3,93.9,99.3,49.4,50.6,7.0336391437,0.3669724771,1.1009174312,43.5
