Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
524,Tyler Graovac,23,C,MIN,0.8203125,0.234375,1.0546875,7,10,1.1,7,0,0,2,2,0,0,5.625,14.6,9.85,0.2884615385,1,41.3671875,63.6328125,39.4,-10.7,31.9921875,47.4609375,40.3,-10.2,9.4,96.2,105.6,63.7,36.3,9.84375,1.875,0.46875,57.1
526,Matt Martin,27,LW,TOR,0.4109589041,0.3287671233,0.7397260274,0,123,0.2,5,0,0,0,4,0,0,5.4246575342,7.6,8.90,0.3170731707,3.6585365854,48.493150685,52.602739726,48,-3.1,36.164383562,38.301369863,48.6,-1.6,6.6,94,100.6,32.8,67.2,9.2876712329,1.3150684932,1.0684931507,58.4
528,Jack Skille,29,RW,VAN,0.6198347107,0.4958677686,1.1157024793,0,12,0.9,5,0,0,0,4,0,0,9.0495867769,6.8,8.80,0.4363636364,1.3454545455,51.074380165,53.553719008,48.8,1.3,38.429752066,40.041322314,49,2.7,5.9,94.6,100.5,46.5,53.5,15,1.7355371901,1.1157024793,60.3
529,Nikita Soshnikov,23,RW,TOR,0.4934210526,0.3947368421,0.8881578947,1,16,0.5,5,0,0,0,3,1,0,6.9078947368,7.1,10.86,0.5,1.8035714286,42.730263158,47.467105263,47.4,-2.5,32.171052632,33.651315789,48.9,-0.5,7.1,93.7,100.8,34.3,65.7,13.125,1.9736842105,1.4802631579,52.6
530,Michael Chaput,24,C,VAN,0.32,0.4,0.72,-12,29,-0.1,4,0,0,0,5,0,0,5.12,6.3,11.03,0.4264705882,1,48.4,54.16,47.2,-0.9,35.68,40.88,46.6,-0.1,4.8,92.5,97.2,45.2,54.8,9.04,1.04,1.12,56.6
531,Devante Smith-Pelly,24,RW,NJD,0.3351955307,0.4189944134,0.7541899441,-19,12,-0.3,4,0,0,0,3,2,0,6.3687150838,5.3,13.51,0.6037735849,1.7735849057,33.519553073,50.027932961,40.1,-8.6,26.396648045,37.541899441,41.3,-7.2,4,91.5,95.4,41.7,58.3,9.1340782123,1.4245810056,1.1731843575,67.9
546,Jay McClement,33,C,CAR,0.4054054054,0.2432432432,0.6486486486,-8,18,0,4,0,1,1,3,0,0,3,13.5,11.38,0.6153846154,0.7538461538,38.594594595,47.027027027,45.1,-8,26.837837838,34.378378378,43.8,-8.6,6.1,91.8,97.8,42.2,57.8,7.0540540541,2.3513513514,1.2162162162,42.5
547,Pierre-Edouard Bellemare,31,LW,PHI,0.2255639098,0.2255639098,0.4511278195,-1,20,-0.4,4,0,0,0,3,0,1,5.0751879699,4.4,12.98,0.8536585366,0.8902439024,37.781954887,43.308270677,46.6,-5.6,26.334586466,29.605263158,47.1,-5.5,6.7,94.1,100.8,46.2,53.8,9.6992481203,1.3533834586,0.7894736842,52.3
548,Joe Colborne,27,C,COL,0.3619909502,0.3619909502,0.7239819005,-21,34,-0.5,2,2,0,0,3,1,0,4.3438914027,8.3,10.69,0.2258064516,1.3870967742,42.533936652,46.968325792,47.5,-2.2,30.678733032,35.56561086,46.3,-2.9,4.9,89.7,94.6,52.1,47.9,6.8778280543,0.9049773756,1.628959276,63.2
549,Jayson Megna,26,C,VAN,0.3328710125,0.3328710125,0.665742025,-4,6,0.1,4,0,0,0,3,1,0,5.9916782247,5.6,12.43,0.3965517241,1.5,42.690707351,52.676837725,44.8,-3.6,29.459084605,40.110957004,42.3,-4.6,5,95,99.9,46.7,53.3,8.9042995839,1.6643550624,0.665742025,67.3
551,Dennis Rasmussen,26,C,CHI,0.2985074627,0.2985074627,0.5970149254,-4,12,-0.4,4,0,0,0,4,0,0,5.7462686567,5.2,11.82,0.7205882353,0.8970588235,45.074626866,48.059701493,48.4,-2.8,32.164179104,31.641791045,50.4,0.2,5.5,93.1,98.6,32.7,67.3,8.5074626866,1.8656716418,1.4179104478,67.5
565,Drew Miller,32,LW,DET,0.5309734513,0.2123893805,0.7433628319,-12,18,0,5,0,0,1,2,0,0,4.5663716814,11.6,10.27,0.9454545455,1.2909090909,37.592920354,52.460176991,41.7,-7.8,29.309734513,38.017699115,43.5,-5.9,4.4,91.8,96.2,39.2,60.8,7.2212389381,1.3805309735,0.5309734513,61.8
571,Lance Bouma,26,C,CGY,0.2601156069,0.3468208092,0.6069364162,-2,35,-0.1,3,0,0,1,4,0,0,4.5953757225,5.7,11.34,0.7213114754,2.0819672131,37.543352601,44.219653179,45.9,-5.8,27.225433526,29.739884393,47.8,-3.4,8,91.4,99.4,32.4,67.6,8.1502890173,1.4739884393,0.7803468208,56.4
573,Andreas Martinsen,26,LW,TOT,0.2825745683,0.3767660911,0.6593406593,-14,32,-0.4,3,0,0,0,3,0,1,6.8759811617,4.1,9.95,0.4375,2.703125,40.408163265,54.725274725,42.5,-7.8,30.518053375,40.502354788,43,-7.2,4.7,91.9,96.6,46.2,53.8,12.527472527,2.3547880691,1.0361067504,54.9
575,John Mitchell,32,C,COL,0.2205882353,0.2941176471,0.5147058824,-12,45,-0.6,3,0,0,1,4,0,0,4.1911764706,5.3,12.55,0.6923076923,1.3538461538,47.5,48.676470588,49.4,1,32.941176471,36.911764706,47.2,-1.2,4.3,93.2,97.5,49.1,50.9,9.3382352941,2.1323529412,1.25,44.9
576,Steve Ott,34,C,TOT,0.3157894737,0.4210526316,0.7368421053,-8,80,-0.1,3,0,0,0,4,0,0,4.7368421053,6.7,10.75,0.4339622642,2.7169811321,37.157894737,46.631578947,44.3,-7.3,28.421052632,34.736842105,45,-6.4,4.6,93.1,97.6,39.2,60.8,8,1.1578947368,0.8421052632,59.2
592,Cody McLeod,32,LW,TOT,0.7092198582,0.1418439716,0.8510638298,-3,145,0.4,5,0,0,0,1,0,0,4.2553191489,16.7,7.17,0.2372881356,2.5423728814,35.177304965,58.581560284,37.5,-13,25.957446809,41.70212766,38.4,-11.6,7.2,94,101.3,40.9,59.1,6.6666666667,0.5673758865,0.2836879433,63.8
595,J.T. Brown,26,RW,TBL,0.2710843373,0.2710843373,0.5421686747,-7,73,-0.4,2,0,1,1,3,0,0,6.0542168675,4.5,10.38,0.390625,1.609375,45.090361446,49.156626506,47.8,-4.6,33.43373494,36.686746988,47.7,-3.8,4.2,93.4,97.7,33.7,66.3,10.481927711,0.7228915663,0.9939759036,57.8
618,Jimmy Hayes,27,RW,BOS,0.2242990654,0.3364485981,0.5607476636,-3,29,-0.1,2,0,0,1,3,0,0,8.2990654206,2.7,9.22,0.1724137931,1.275862069,55.401869159,51.700934579,51.7,-3.4,40.037383178,39.476635514,50.4,-5.8,6.4,92.2,98.5,62.5,37.5,15.028037383,1.5700934579,1.3457943925,55.2
627,Brendan Gaunce,22,LW,VAN,0,0.5545286506,0.5545286506,-2,33,-0.3,0,0,0,0,5,0,0,5.6561922366,0,9.49,0.2105263158,1.649122807,48.909426987,47.356746765,50.8,3.2,35.933456562,35.933456562,50,3.5,5,94,99,42.2,57.8,8.9833641405,1.2199630314,0.6654343808,63
633,Chris Thorburn,33,RW,WPG,0.4035874439,0.134529148,0.5381165919,-7,95,-0.4,2,0,1,0,1,0,0,4.8430493274,8.3,6.97,0.390625,1.40625,39.955156951,50.179372197,44.3,-4.9,27.040358744,33.766816143,44.5,-5.1,5,91.4,96.4,46.2,53.8,8.4753363229,0.5381165919,0.5381165919,57.1
639,Vernon Fiddler,36,LW,TOT,0.1746724891,0.1746724891,0.3493449782,-15,66,-1,1,0,1,0,2,0,0,4.192139738,4.2,11.64,0.5593220339,0.9661016949,33.886462882,48.733624454,41,-8.5,26.200873362,35.720524017,42.3,-7.2,5.3,91.7,97,23.9,76.1,7.5982532751,1.0480349345,1.8340611354,52.9
645,Brandon Tanev,25,LW,WPG,0.2201834862,0.2201834862,0.4403669725,-6,26,-0.6,2,0,0,1,2,0,0,5.9449541284,3.7,10.69,0.6078431373,2.5098039216,34.018348624,45.247706422,42.9,-7.1,24.110091743,32.256880734,42.8,-7.1,5,93,98,42.9,57.1,9.0275229358,2.0917431193,0.9908256881,65.9
647,Shawn Thornton,39,LW,FLA,0.3125,0.3125,0.625,-7,67,-0.2,2,0,0,0,2,0,0,6.5625,4.8,7.68,0.16,1.04,39.6875,60.15625,39.7,-11.8,31.71875,43.59375,42.1,-8.5,4,93.8,97.8,42.7,57.3,12.65625,1.25,1.25,51.9
656,Chris Neil,37,RW,OTT,0.1496259352,0.4488778055,0.5985037406,-11,63,-0.6,1,0,0,0,3,0,0,6.2842892768,2.4,7.57,0.3773584906,2.0377358491,49.376558603,58.503740648,45.8,-2.7,35.610972569,41.895261845,45.9,-3.2,3.2,91.2,94.3,61.2,38.8,9.8753117207,1.6458852868,1.3466334165,63.6
674,Jordin Tootoo,33,RW,CHI,0.3560830861,0.178041543,0.5341246291,-6,28,-0.3,2,0,0,0,1,0,0,7.6557863501,4.7,6.74,0.16,1.04,54.658753709,56.795252226,49,0.1,37.922848665,39.525222552,49,0.4,3.2,93.2,96.4,47.6,52.4,14.421364985,1.6023738872,1.6023738872,53.1
682,Jared Boll,30,RW,ANA,0,0.6060606061,0.6060606061,-3,87,-0.3,0,0,0,0,3,0,0,2.6262626263,0,5.82,0.2745098039,1.3333333333,36.767676768,56.767676768,39.3,-12.4,29.494949495,43.636363636,40.3,-11.5,6.4,94.5,100.9,56,44,5.2525252525,0.404040404,1.0101010101,50
