Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
400,Kevin Fiala,20,LW,NSH,0.904109589,0.4109589041,1.3150684932,1,18,1.8,11,0,0,1,5,0,0,9.3698630137,9.6,13.52,0.2592592593,0.8148148148,57.452054795,47.01369863,55,5.3,42.328767123,35.260273973,54.6,5.4,5.5,93.9,99.4,58.7,41.3,15.04109589,3.2054794521,2.2191780822,62.3
401,Viktor Stalberg,31,LW,TOT,0.7213114754,0.3278688525,1.0491803279,-9,41,1.2,8,1,2,2,4,1,0,6.6229508197,10.9,12.20,0.3733333333,1.88,45.836065574,45.639344262,50.1,-1.2,33.31147541,34.68852459,49,-1.9,5.4,91.9,97.2,53.5,46.5,11.868852459,2.4262295082,1.7704918033,55.8
402,Adam Cracknell,31,RW,DAL,0.8310249307,0.4986149584,1.3296398892,9,12,1.9,9,0,1,2,6,0,0,7.2299168975,11.5,10.46,0.5362318841,1.3188405797,56.509695291,53.684210526,51.3,2,41.301939058,37.645429363,52.3,2.5,8,93.6,101.5,49.7,50.3,14.127423823,1.5789473684,1.3296398892,51.2
403,Dwight King,27,LW,TOT,0.4683434519,0.3642671292,0.8326105811,-2,12,1.1,9,0,0,1,7,0,0,5.724197745,8.2,14.41,0.35,1.5,47.3547268,46.782307025,50.3,-5.5,34.553339115,34.137033825,50.3,-5.3,6.7,92.6,99.3,53.8,46.2,9.158716392,0.7805724198,0.9366869037,62.5
404,Ryan White,28,C,TOT,0.7792207792,0.6060606061,1.3852813853,-16,84,0.9,9,0,0,1,7,0,0,5.1948051948,15,10.66,0.5076923077,2.8769230769,48.311688312,58.614718615,45.2,-3.6,36.363636364,45.021645022,44.7,-3.5,6.8,89.5,96.3,41.8,58.2,8.9177489177,0.9523809524,0.8658008658,58.3
405,Zemgus Girgensons,23,C,BUF,0.4255319149,0.547112462,0.9726443769,-7,18,0.8,7,0,0,0,9,0,0,6.8085106383,6.3,13.16,0.3466666667,1.6,43.647416413,49.300911854,47,-1.2,33.069908815,38.237082067,46.4,-1.9,5.5,93.6,99.1,50.7,49.3,11.489361702,1.0334346505,0.9726443769,59.3
406,Brock McGinn,22,LW,CAR,0.6140350877,0.7894736842,1.4035087719,-11,6,1.1,7,0,0,1,8,0,1,6.4912280702,9.5,12.00,0.3859649123,1.5964912281,52.192982456,53.50877193,49.4,-1.5,36.052631579,38.684210526,48.2,-1.8,7.7,89.2,96.9,49.3,50.7,12.456140351,2.5438596491,1.2280701754,52.1
408,Nick Cousins,23,C,PHI,0.5,0.8333333333,1.3333333333,-6,31,1.1,5,1,0,0,9,1,0,8.25,6.1,12.00,0.4,1.0166666667,55.5,50.416666667,52.4,1.8,39.5,36,52.3,1.3,5.4,92.6,97.9,52.7,47.3,13.583333333,1.25,1.1666666667,60.1
410,Derek MacKenzie,35,C,FLA,0.3495145631,0.5825242718,0.932038835,-7,50,0.6,4,0,2,1,7,0,3,5.3009708738,6.6,12.56,0.5487804878,2.3414634146,35.59223301,46.834951456,43.2,-9.1,28.427184466,34.893203883,44.9,-6.4,5.9,92.5,98.4,35.1,64.9,9.0291262136,1.9805825243,1.4563106796,58.7
411,Curtis McKenzie,25,LW,DAL,0.6260869565,1.0434782609,1.6695652174,5,72,1.6,6,0,0,3,10,0,0,6.8869565217,9.1,10.85,0.5849056604,1.9433962264,54.156521739,54.782608696,49.7,-0.6,38.713043478,38.608695652,50.1,-0.4,8.7,92.6,101.2,46.1,53.9,12.104347826,1.252173913,1.0434782609,56.9
415,Tom Kuhnhackl,25,RW,PIT,0.3953871499,1.1861614498,1.5815485997,8,18,1.3,3,0,1,0,11,0,1,4.8434925865,8.2,10.65,0.7368421053,1.9649122807,38.846787479,45.766062603,45.9,-4.8,29.456342669,30.939044481,48.8,-2.3,10.1,93.2,103.3,29.9,70.1,9.7858319605,0.5930807249,0.4942339374,49.5
417,Matt Calvert,27,LW,CBJ,0.6912442396,0.3456221198,1.0368663594,-4,48,1.1,7,0,3,1,4,0,1,6.3594470046,10.9,13.35,0.5230769231,0.9384615385,42.02764977,50.668202765,45.3,-5.6,31.589861751,38.571428571,45,-6.1,7.6,91.3,98.8,44,56,10.64516129,1.5898617512,1.0368663594,59.7
418,Kyle Brodziak,32,C,STL,0.6209573092,0.5433376455,1.1642949547,2,27,1.4,8,0,0,2,7,0,0,4.2690815006,14.5,11.20,0.5652173913,0.8115942029,35.782664942,45.407503234,44.1,-7.8,26.623544631,32.910737387,44.7,-7.1,9.8,91.9,101.6,20.6,79.4,7.1410090556,2.5614489004,0.4657179819,60.9
419,Dale Weise,28,RW,PHI,0.5825242718,0.5097087379,1.0922330097,1,39,1.3,7,1,0,2,6,1,0,6.8446601942,8.5,12.88,0.375,2.109375,52.208737864,46.09223301,53.1,2.9,37.063106796,31.601941748,54,3.5,8.1,90.7,98.8,50.1,49.9,10.485436893,0.9466019417,1.0194174757,65.3
421,Chris VandeVelde,29,C,PHI,0.3846153846,0.5769230769,0.9615384615,-5,16,0.7,6,0,0,0,9,0,0,4.4230769231,8.7,11.56,0.7407407407,1.4074074074,37.435897436,43.461538462,46.3,-5.7,26.282051282,29.743589744,46.9,-5.4,5.9,93.2,99.1,45.6,54.4,7.7564102564,0.8974358974,0.7692307692,57
422,Anthony Duclair,21,LW,ARI,0.3891050584,0.7782101167,1.1673151751,-7,14,0.7,5,0,0,1,8,2,0,5.9143968872,6.6,13.29,0.2931034483,0.3793103448,50.038910506,56.575875486,46.9,2.1,37.743190661,43.579766537,46.4,2.3,7.9,91.7,99.6,56.7,43.3,11.361867704,2.3346303502,1.7120622568,52.1
423,Ondrej Kase,21,RW,ANA,0.48,0.96,1.44,-1,18,1.2,5,0,0,2,10,0,0,7.392,6.5,11.79,0.2641509434,0.7924528302,56.064,50.4,52.7,3.5,42.912,37.632,53.3,3.6,6.5,92.2,98.8,57.9,42.1,13.92,2.208,3.168,53.1
430,Benoit Pouliot,30,LW,EDM,0.5095541401,0.3821656051,0.8917197452,-5,34,0.6,8,0,0,1,6,0,0,4.9044585987,10.4,14.06,0.5820895522,0.5820895522,44.458598726,47.006369427,48.6,-2.3,32.929936306,32.993630573,50,-1.8,6.1,93.2,99.3,55.5,44.5,9.2993630573,2.4840764331,3.0573248408,52.7
